,,,Pillars,,,,Dimensions,,,,,,,,,
Country,Total score,,Government,Technology Sector,Data and Infrastructure,,Vision,Governance and Ethics,Digital Capacity,Adaptability,Maturity,Innovation Capacity,Human Capital,Infrastructure,Data Availability,Data Representativeness
Mozambique,25.62,,21.90,17.82,37.15,,0.00,31.05,30.97,25.59,7.09,30.11,16.26,33.21,19.52,58.72
Myanmar,30.91,,21.63,27.98,43.14,,0.00,25.08,30.08,31.34,11.46,36.40,36.06,27.31,48.17,53.93
Namibia,35.37,,32.02,28.30,45.80,,0.00,44.45,41.02,42.60,16.72,39.22,28.96,25.89,43.97,67.55
Nauru,46.75,,38.19,38.54,63.50,,0.00,52.67,40.11,59.99,35.76,44.47,35.39,38.87,62.41,89.23
Nepal,30.77,,31.04,24.21,37.06,,0.00,46.20,42.62,35.33,9.33,34.36,28.93,22.66,35.97,52.55
Netherlands,74.47,,78.90,61.96,82.55,,100.00,72.41,79.80,63.37,51.41,69.25,65.22,80.29,83.29,84.09
New Zealand,60.18,,51.85,47.05,81.66,,0.00,70.85,74.34,62.21,29.61,52.04,59.49,64.49,88.85,91.64
Nicaragua,29.77,,24.53,26.33,38.45,,0.00,32.76,33.93,31.44,15.00,32.46,31.52,17.34,35.50,62.52
Niger,24.71,,25.48,15.88,32.77,,0.00,37.87,30.21,33.82,5.13,30.41,12.09,13.87,33.53,50.93
Nigeria,39.88,,44.94,24.49,50.21,,50.00,49.91,43.13,36.71,11.20,39.48,22.79,42.67,32.05,75.92
North Macedonia,45.40,,39.55,33.89,62.77,,0.00,60.42,51.88,45.88,22.75,35.07,43.86,48.32,50.64,89.37
Norway,72.71,,81.77,54.97,81.40,,100.00,92.54,67.06,67.48,44.21,61.48,59.21,68.95,84.47,90.78
Oman,58.94,,69.35,37.71,69.76,,100.00,56.33,74.11,46.96,21.20,41.25,50.67,56.48,71.39,81.40
Pakistan,42.20,,43.00,34.07,49.53,,50.00,35.98,47.51,38.52,16.77,45.29,40.15,42.12,48.91,57.56
Panama,43.91,,38.33,33.26,60.15,,0.00,49.50,58.56,45.24,25.14,33.39,41.25,31.05,59.03,90.38
Papua New Guinea,30.41,,25.82,22.56,42.84,,0.00,22.51,43.61,37.14,13.10,32.03,22.55,18.99,34.61,74.92
Paraguay,36.85,,37.45,24.32,48.79,,0.00,50.74,47.24,51.82,13.94,28.56,30.47,25.12,48.75,72.51
Peru,54.87,,70.15,32.29,62.18,,100.00,72.17,62.79,45.65,19.87,36.05,40.94,47.94,64.38,74.21
Philippines,51.98,,65.43,34.38,56.13,,100.00,55.40,58.38,47.95,24.72,46.99,31.42,49.52,67.14,51.71
Poland,63.10,,69.79,46.84,72.66,,100.00,64.05,65.47,49.65,31.32,49.31,59.89,61.95,66.10,89.92
Portugal,68.28,,80.48,50.95,73.42,,100.00,87.50,73.30,61.10,37.36,54.03,61.46,60.72,77.89,81.65
Qatar,63.59,,69.64,44.31,76.81,,100.00,58.18,71.42,48.95,30.99,48.92,53.02,61.18,69.60,99.65
Republic of Korea,75.65,,87.55,54.36,85.02,,100.00,87.78,91.57,70.85,38.46,59.04,65.60,79.35,95.65,80.06
Republic of Moldova,42.97,,42.69,28.21,58.02,,0.00,55.92,63.49,51.34,19.33,29.16,36.14,27.98,66.17,79.91
Romania,52.32,,51.42,39.23,66.30,,50.00,58.94,52.94,43.82,29.76,39.32,48.62,58.57,67.55,72.79
Russian Federation,62.92,,74.13,43.38,71.26,,100.00,70.01,71.38,55.13,21.51,50.81,57.81,56.59,73.75,83.45
Rwanda,45.39,,67.82,27.87,40.48,,100.00,62.91,65.91,42.45,8.75,48.31,26.54,21.27,42.05,58.11
Saint Kitts and Nevis,39.23,,31.71,28.09,57.90,,0.00,47.85,31.10,47.90,27.26,27.00,30.02,36.53,54.03,83.13
Saint Lucia,36.46,,30.37,27.95,51.08,,0.00,47.31,39.00,35.17,21.60,28.27,33.98,27.28,53.11,72.83
Saint Vincent and the Grenadines,34.13,,30.53,24.40,47.47,,0.00,37.24,36.73,48.16,21.01,28.27,23.91,26.89,46.57,68.95
Samoa,31.66,,27.52,22.85,44.61,,0.00,28.71,36.84,44.54,20.77,30.60,17.19,19.24,39.70,74.88
