"Table 3: GDHI per head of population at current basic prices, pounds [note 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITL,ITL code,Region name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ITL2,TLM1,East Central Scotland,"10,429","10,726","11,322","11,927","12,520","12,967","13,546","14,160","14,591","15,381","16,011","16,377","16,410","16,650","17,078","17,722","18,293","18,749","19,358","19,662","20,165","20,814","21,734","21,636","22,644","24,017","25,964"
ITL3,TLM11,East Lothian and Midlothian,"9,844","10,061","10,565","11,009","11,283","11,596","12,531","13,563","14,152","14,688","15,294","15,893","16,077","16,738","17,027","17,355","18,220","18,695","19,116","19,079","19,019","19,640","20,727","20,878","21,705","22,602","24,751"
ITL3,TLM12,Falkirk,"8,578","8,728","9,352","9,653","10,337","10,629","11,125","11,606","11,939","12,685","13,410","13,934","13,798","13,721","14,196","14,789","15,209","15,457","15,822","16,508","17,054","17,513","18,182","18,309","18,733","19,810","21,537"
ITL3,TLM13,City of Edinburgh,"11,981","12,362","12,974","13,660","14,350","14,879","15,388","16,015","16,503","17,447","17,862","18,233","18,349","18,482","19,043","19,884","20,371","20,862","21,591","21,904","22,570","23,420","24,445","24,055","25,514","27,091","29,109"
ITL3,TLM14,West Lothian,"8,266","8,569","9,217","10,074","10,682","11,233","11,750","12,048","12,255","12,952","14,109","14,100","13,896","14,223","14,343","14,807","15,409","15,927","16,592","16,868","17,469","17,722","18,351","18,583","19,124","20,613","22,233"
ITL2,TLM2,Highlands and Islands,"8,719","8,907","9,159","9,625","10,139","10,540","10,829","11,216","11,599","12,495","13,182","14,598","15,022","15,383","15,329","15,942","16,436","16,676","17,336","17,558","17,958","18,732","19,470","19,386","19,932","21,148",[u]
ITL3,TLM20,Highlands and Islands,"8,719","8,907","9,159","9,625","10,139","10,540","10,829","11,216","11,599","12,495","13,182","14,598","15,022","15,383","15,329","15,942","16,436","16,676","17,336","17,558","17,958","18,732","19,470","19,386","19,932","21,148",[u]
ITL2,TLM3,West Central Scotland,"9,208","9,392","9,927","10,566","11,074","11,383","11,754","12,141","12,514","13,058","13,716","14,205","14,381","14,418","14,566","14,967","15,377","15,864","16,431","16,736","16,993","17,295","17,959","18,082","18,704","19,650","21,194"
ITL3,TLM31,East Dunbartonshire and West Dunbartonshire,"9,183","9,461","10,640","11,372","11,765","12,168","12,537","12,965","13,440","14,163","14,695","15,414","15,588","15,855","16,108","16,464","16,804","17,060","17,828","18,123","18,875","19,560","20,170","19,975","20,831","21,920","23,882"
ITL3,TLM32,Glasgow City,"8,938","9,114","9,594","10,192","10,653","11,042","11,503","11,878","12,117","12,705","13,411","13,650","13,901","13,847","13,948","14,379","14,670","15,182","15,630","16,058","16,243","16,397","17,093","17,407","18,152","18,881","20,006"
ITL3,TLM33,"Inverclyde, East Renfrewshire, and Renfrewshire","10,192","10,375","10,783","11,490","12,196","12,275","12,566","12,965","13,508","14,096","14,641","15,385","15,523","15,508","15,639","16,033","16,651","17,009","17,884","17,909","18,129","18,459","19,170","19,140","19,731","20,884","22,873"
ITL3,TLM34,North Lanarkshire,"8,649","8,789","9,156","9,732","10,188","10,549","10,853","11,229","11,599","11,921","12,703","13,233","13,331","13,459","13,658","14,035","14,477","15,182","15,527","15,915","16,045","16,370","16,966","17,093","17,389","18,434","20,049"
ITL2,TLM5,North Eastern Scotland,"10,897","11,069","10,977","11,684","12,355","12,737","13,046","14,067","15,010","15,789","16,765","17,576","17,959","18,308","19,098","19,837","21,064","21,546","21,495","20,463","20,579","20,952","21,621","20,961","21,319","22,277","23,924"
ITL3,TLM50,Aberdeen City and Aberdeenshire,"10,897","11,069","10,977","11,684","12,355","12,737","13,046","14,067","15,010","15,789","16,765","17,576","17,959","18,308","19,098","19,837","21,064","21,546","21,495","20,463","20,579","20,952","21,621","20,961","21,319","22,277","23,924"
ITL2,TLM9,Southern Scotland,"9,090","9,295","9,553","10,096","10,538","11,072","11,478","12,066","12,512","13,009","13,657","14,154","14,407","14,792","14,992","15,336","15,835","16,174","16,722","16,902","17,201","17,570","18,357","18,544","19,170","20,256",[u]
ITL3,TLM91,Scottish Borders,"9,385","9,784","9,943","10,542","10,978","11,471","12,331","12,946","13,551","14,237","14,692","15,294","15,636","15,995","16,228","16,245","16,881","17,569","18,050","18,258","18,482","18,810","19,701","19,910","20,309","21,560","23,765"
ITL3,TLM92,Dumfries and Galloway,"9,136","9,344","9,518","9,912","10,225","10,651","11,122","11,619","11,729","12,418","13,197","13,947","14,420","14,712","14,818","15,284","15,724","16,224","16,856","17,216","17,478","17,788","18,538","18,819","19,531","20,548","22,534"
ITL3,TLM93,North Ayrshire and East Ayrshire,"8,266","8,361","8,503","9,090","9,739","10,241","10,595","11,197","11,590","12,044","12,707","12,975","13,190","13,709","13,765","14,086","14,724","15,038","15,565","15,677","15,853","16,193","16,929","17,070","17,566","18,716",[u]
ITL3,TLM94,South Ayrshire,"9,364","9,513","9,996","10,430","11,091","11,442","12,142","12,817","13,217","13,904","14,290","14,897","15,191","15,632","15,952","16,510","17,058","17,389","17,602","17,824","17,724","18,117","18,681","18,831","19,890","20,959","22,804"
ITL3,TLM95,South Lanarkshire,"9,546","9,795","10,142","10,737","10,990","11,683","11,828","12,404","13,015","13,312","14,049","14,530","14,661","14,971","15,276","15,622","15,964","16,118","16,785","16,907","17,482","17,901","18,779","18,963","19,575","20,588","22,339"
ITL1,TLN,Northern Ireland,"8,563","8,583","8,913","9,380","9,642","10,166","10,646","11,243","11,816","12,404","12,658","12,870","13,039","13,225","13,516","13,745","14,304","14,757","15,245","15,476","15,861","16,215","16,795","16,971","17,807","18,903","20,403"
ITL2,TLN0,Northern Ireland,"8,563","8,583","8,913","9,380","9,642","10,166","10,646","11,243","11,816","12,404","12,658","12,870","13,039","13,225","13,516","13,745","14,304","14,757","15,245","15,476","15,861","16,215","16,795","16,971","17,807","18,903","20,403"
ITL3,TLN06,Belfast,"9,678","9,760","10,053","10,546","10,839","11,247","11,399","11,766","12,050","12,547","12,683","13,278","13,557","13,676","13,835","14,089","14,589","14,774","15,051","15,144","15,521","16,005","16,554","16,583","17,530","18,451","19,671"
ITL3,TLN07,"Armagh City, Banbridge and Craigavon","8,462","8,498","8,820","9,066","9,325","9,871","10,409","11,133","11,701","12,473","12,836","12,960","13,011","13,257","13,488","13,515","14,192","14,971","15,382","15,180","15,417","15,781","16,271","16,493","17,449","18,485","20,019"
ITL3,TLN08,"Newry, Mourne and Down","8,290","8,350","8,659","9,061","9,225","9,721","10,351","10,989","11,736","12,446","12,600","12,692","12,790","12,935","13,309","13,404","13,912","14,307","14,421","14,766","15,299","15,747","16,243","16,566","17,275","18,426","19,898"
ITL3,TLN09,Ards and North Down,"9,346","9,359","9,688","10,236","10,513","11,081","11,455","11,950","12,478","13,075","13,480","13,840","13,992","14,163","14,487","14,775","15,470","15,701","16,098","16,631","17,244","17,544","18,333","18,385","19,211","20,496","22,307"
ITL3,TLN0A,Derry City and Strabane,"6,927","6,919","7,279","7,595","7,985","8,713","9,339","10,085","10,948","11,473","11,625","11,585","11,809","12,218","12,552","12,805","13,280","13,720","13,872","14,038","14,373","14,551","15,315","15,707","16,756","17,651","18,847"
ITL3,TLN0B,Mid Ulster,"7,595","7,611","7,984","8,381","8,566","8,979","9,775","10,598","11,253","11,870","12,008","11,898","11,970","12,145","12,483","12,575","13,057","13,733","14,296","14,818","15,817","16,203","16,741","16,945","17,633","18,791","20,511"
ITL3,TLN0C,Causeway Coast and Glens,"6,947","6,904","7,259","7,648","8,146","8,886","9,342","9,946","10,816","11,379","11,408","11,279","11,691","12,071","12,554","12,762","13,273","13,790","14,903","15,555","15,805","15,890","16,493","16,854","17,937","19,237","20,861"
ITL3,TLN0D,Antrim and Newtownabbey,"9,156","9,145","9,489","10,178","10,393","10,932","11,371","11,938","12,384","12,898","13,402","13,735","13,836","13,898","14,263","14,603","15,190","15,700","15,951","15,806","16,263","16,527","17,188","17,282","17,911","19,070","20,519"
ITL3,TLN0E,Lisburn and Castlereagh,"9,218","9,186","9,569","10,373","10,671","11,170","11,686","12,229","12,750","13,162","13,662","13,996","14,085","14,183","14,389","14,924","15,688","16,116","17,268","17,617","17,685","18,188","18,858","18,801","19,470","20,672","22,529"
ITL3,TLN0F,Mid and East Antrim,"9,092","9,123","9,423","10,041","10,070","10,647","11,138","11,735","12,228","12,883","13,305","13,617","13,771","13,882","14,153","14,499","15,119","15,832","16,437","16,591","16,425","16,828","17,074","17,155","17,901","18,957","20,491"
ITL3,TLN0G,Fermanagh and Omagh,"7,531","7,552","7,937","8,220","8,501","8,909","9,730","10,550","11,281","11,936","12,066","12,004","12,111","12,301","12,598","12,761","13,082","13,453","14,285","14,715","15,259","15,489","16,125","16,553","17,212","18,370","19,752"
