"Table 3: GDHI per head of population at current basic prices, pounds [note 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITL,ITL code,Region name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ITL3,TLE21,York,"10,392","10,970","11,766","12,026","12,567","13,016","13,071","12,776","13,032","13,654","14,475","14,552","15,085","15,153","15,288","16,008","16,449","17,114","17,937","18,080","18,758","19,599","20,229","20,327","21,010","21,955","23,553"
ITL3,TLE22,North Yorkshire,"11,382","12,021","12,241","12,233","12,670","13,115","13,539","14,059","14,833","15,741","16,221","16,594","17,292","17,153","17,423","18,005","18,523","18,783","19,999","20,061","20,667","21,615","22,231","22,123","22,940","24,175","26,697"
ITL2,TLE3,South Yorkshire,"8,918","9,074","9,568","10,032","10,488","10,692","11,076","11,507","11,693","11,998","12,429","12,593","12,968","13,036","13,219","13,655","14,045","14,610","15,174","15,286","15,729","16,179","16,662","16,931","17,432","18,315","19,795"
ITL3,TLE32,Sheffield,"9,387","9,492","9,951","10,318","10,920","11,157","11,457","12,065","12,058","12,254","12,531","12,846","13,308","13,184","13,178","13,572","13,853","14,462","15,070","15,138","15,436","15,954","16,481","16,688","17,272","18,064","19,462"
ITL3,TLE33,Barnsley,"8,863","9,026","9,549","10,083","10,475","10,684","11,090","11,404","11,673","12,041","12,549","12,597","12,960","13,129","13,467","13,868","14,267","14,827","15,263","15,403","15,933","16,416","17,092","17,460","17,885","18,863","20,404"
ITL3,TLE34,Rotherham,"8,448","8,620","9,159","9,700","10,041","10,237","10,648","10,917","11,258","11,663","12,224","12,299","12,662","12,903","13,213","13,712","14,202","14,646","15,218","15,343","15,921","16,224","16,464","16,843","17,145","18,162","19,793"
ITL3,TLE35,Doncaster,"8,526","8,751","9,247","9,765","10,114","10,263","10,757","11,101","11,430","11,797","12,334","12,386","12,626","12,812","13,106","13,595","14,090","14,681","15,257","15,414","15,933","16,363","16,819","17,027","17,607","18,469","19,922"
ITL2,TLE4,West Yorkshire,"9,439","9,624","10,069","10,636","10,897","11,128","11,498","11,871","12,076","12,459","13,026","13,165","13,429","13,500","13,685","14,040","14,503","14,875","15,563","15,607","16,037","16,567","17,145","17,320","17,796","18,731","20,272"
ITL3,TLE41,Bradford,"9,194","9,319","9,773","10,295","10,309","10,473","10,688","11,111","11,171","11,454","11,856","12,043","12,301","12,218","12,299","12,635","13,110","13,452","14,067","14,059","14,380","14,596","15,053","15,334","15,669","16,469","17,784"
ITL3,TLE42,Leeds,"9,939","10,126","10,583","11,248","11,612","11,900","12,211","12,444","12,643","13,104","13,749","13,979","14,276","14,415","14,764","14,991","15,409","15,755","16,461","16,558","16,992","17,672","18,328","18,505","19,049","20,073","21,694"
ITL3,TLE44,Calderdale and Kirklees,"9,195","9,406","9,848","10,355","10,649","10,828","11,316","11,760","12,031","12,397","12,967","13,031","13,276","13,348","13,567","14,053","14,540","14,990","15,704","15,680","16,099","16,695","17,302","17,370","17,864","18,758","20,360"
