Country,GDP_Per_Capita,AI_Score,Labor_Cost_Norm,AI_Score_Norm,Income_Group,Efficiency_Index,Strategy_Label
Malawi,633.214767978695,24.87,0.002465791624670824,0.3034036842747347,Low Income,0.3009378926500639,0
Malaysia,11386.0395636528,68.71,0.04433819679197744,0.8382335000609978,Upper-Mid,0.7938953032690204,0
Namibia,4187.60500396525,35.37,0.016306886491558523,0.4314993290228132,Lower-Mid,0.41519244253125465,0
Niger,638.336080897887,24.71,0.0024857344484046614,0.30145175064047824,Low Income,0.2989660161920736,0
Nigeria,2138.76383719983,39.88,0.00832852647096445,0.48651945833841653,Low Income,0.4781909318674521,0
Nicaragua,2609.44492072931,29.77,0.010161398242674344,0.363181651823838,Low Income,0.3530202535811636,0
Netherlands,63515.6030780019,74.47,0.24733510654780394,0.9085031108942296,High Income,0.6611680043464256,0
Norway,87497.2179649556,72.71,0.34072153422556334,0.8870318409174087,High Income,0.5463103066918453,0
Nepal,1382.33055769304,30.77,0.005382911587116884,0.3753812370379407,Low Income,0.3699983254508238,0
Nauru,12752.4723855838,46.75,0.049659201257410475,0.5703306087593022,Upper-Mid,0.5206714075018917,0
New Zealand,49075.9562832927,60.18,0.19110590607723496,0.7341710381847018,High Income,0.5430651321074668,0
Oman,21027.7384778886,58.94,0.08188378421757002,0.7190435525192144,Upper-Mid,0.6371597683016443,0
Pakistan,1360.32417758419,42.2,0.005297216889984441,0.5148224960351349,Low Income,0.5095252791451504,0
Panama,18797.1933994045,43.91,0.07319785386484982,0.5356837867512504,Upper-Mid,0.46248593288640055,0
Peru,7887.54185920108,54.87,0.030714752149168034,0.6693912406978163,Upper-Mid,0.6386764885486482,0
Philippines,3804.08274131097,51.98,0.014813418507312857,0.6341344394290593,Lower-Mid,0.6193210209217465,0
Papua New Guinea,2966.06830432055,30.41,0.011550119726900114,0.37098938636086376,Lower-Mid,0.35943926663396364,0
Poland,22145.2660647429,63.1,0.08623553073921249,0.7697938270098816,Upper-Mid,0.6835582962706691,0
Portugal,27634.6183139773,68.28,0.10761153061400622,0.8329876784189337,High Income,0.7253761478049275,0
Paraguay,6299.99026533713,36.85,0.024532692567111266,0.44955471513968526,Lower-Mid,0.425022022572574,0
Qatar,81816.9797967481,63.59,0.31860220850924825,0.775771623764792,High Income,0.4571694152555438,0
Romania,18244.4186876321,52.32,0.07104530259228685,0.6382822984018544,Upper-Mid,0.5672369958095675,0
Russian Federation,14159.3876953125,62.92,0.05513784793904774,0.7675979016713432,Upper-Mid,0.7124600537322955,0
Rwanda,1027.03446826565,45.39,0.003999358698126414,0.5537391728681225,Low Income,0.5497398141699961,0
Saudi Arabia,36156.848337701,67.04,0.14079781191805055,0.8178601927534465,High Income,0.6770623808353959,0
Sudan,797.283447265625,24.51,0.0031046888767799646,0.2990118335976577,Low Income,0.29590714472087776,0
Senegal,1698.03387300843,42.58,0.006612286879911213,0.5194583384164938,Low Income,0.5128460515365826,0
Singapore,85412.230345235,81.97,0.332602416873546,1.0,High Income,0.667397583126454,0
Solomon Islands,1882.64394148042,29.09,0.0073311740311399025,0.3548859338782481,Low Income,0.3475547598471082,0
Sierra Leone,758.329137378248,24.83,0.002952997514034682,0.30291570086617053,Low Income,0.2999627033521359,0
El Salvador,5365.44491399171,32.58,0.020893494278071797,0.3974624862754666,Lower-Mid,0.3765689919973948,0
San Marino,59879.7173015651,48.08,0.2331766611842882,0.5865560570940588,High Income,0.3533793959097706,0
Serbia,12281.707946167,55.57,0.047826004890856595,0.6779309503476882,Upper-Mid,0.6301049454568316,0
Sao Tome and Principe,2990.6606143535,26.86,0.01164588425289834,0.32768085885079906,Lower-Mid,0.3160349745979007,0
Suriname,5521.97602122638,35.52,0.021503039589928274,0.43332926680492867,Lower-Mid,0.4118262272150004,0
